"pressure","temperature","salinity"
1.48,14.2245,29.921
1.671,14.2299,29.9205
2.052,14.2285,29.9206
2.243,14.2256,29.9219
2.624,14.2301,29.9206
2.672,14.2366,29.9164
3.005,14.1955,29.9339
3.196,14.1157,29.9667
3.482,14.1431,29.9519
3.72,14.1227,29.9634
4.006,14.1098,29.9699
4.197,14.1031,29.9705
4.292,14.119,29.9618
4.721,13.2693,30.3046
4.721,13.3769,30.2732
5.15,12.2969,30.7485
5.293,12.113,30.7636
5.674,12.0189,30.7813
5.722,12.0137,30.7795
6.055,11.7947,30.8467
6.198,11.7372,30.8882
6.437,11.6331,30.9301
6.77,11.4273,30.8928
6.961,11.443,30.8872
7.199,11.3893,30.9049
7.342,11.2948,30.9166
7.437,11.3117,30.9245
7.819,11.2404,30.9283
8.057,10.9412,30.9801
8.295,10.937,30.9853
8.724,10.8152,30.9895
8.724,10.7423,30.9982
9.058,10.5454,31.0359
9.248,10.4441,31.0327
9.534,10.2322,31.0883
9.725,10.0341,31.1196
10.154,9.8997,31.0861
10.201,9.701,31.1802
10.392,9.6033,31.1974
10.583,9.5517,31.2066
10.916,9.5045,31.2061
11.107,9.5038,31.212
11.488,9.4633,31.2078
11.727,9.4251,31.2148
11.87,9.3915,31.2161
12.06,9.2894,31.2055
12.346,9.162,31.263
12.489,9.1043,31.2616
12.918,9.1128,31.2549
13.109,9.0277,31.2692
13.347,9.0187,31.2737
13.49,8.9892,31.2728
13.728,9.0117,31.266
13.919,8.9677,31.2727
14.348,8.8793,31.2883
14.634,8.8282,31.2944
14.824,8.7572,31.3075
15.063,8.7516,31.3102
15.206,8.6816,31.3139
15.539,8.5293,31.301
15.635,8.5414,31.2956
16.016,8.4359,31.3575
16.207,8.4447,31.3507
16.445,8.3199,31.3752
16.588,8.3255,31.3595
16.874,8.2131,31.3747
17.16,8.1497,31.3661
17.208,8.0773,31.3674
17.637,8.0163,31.3832
17.875,7.9462,31.3769
17.923,7.9718,31.3684
18.161,7.8406,31.394
18.399,7.7792,31.3999
18.542,7.7708,31.3996
18.828,7.7363,31.408
19.257,7.7161,31.4014
19.352,7.705,31.4032
19.543,7.7195,31.397
19.781,7.7047,31.3985
20.02,7.7034,31.3983
20.21,7.7033,31.3984
20.83,7.6961,31.3998
20.878,7.6881,31.3959
21.116,7.6823,31.3971
21.354,7.6861,31.4152
21.545,7.6865,31.4223
21.831,7.6852,31.4124
22.212,7.6305,31.4262
22.355,7.5792,31.4238
22.546,7.5759,31.4273
22.784,7.5459,31.4314
23.023,7.5451,31.4289
23.356,7.4683,31.4388
23.642,7.3992,31.4449
23.928,7.4252,31.4341
24.119,7.3919,31.4437
24.357,7.3468,31.4405
24.5,7.3078,31.4428
24.882,7.2831,31.4434
25.072,7.2589,31.4458
25.454,7.2669,31.444
25.549,7.1843,31.4551
25.74,7.1811,31.4411
25.93,7.0843,31.4501
26.312,7.0216,31.4235
26.55,6.8768,31.4508
26.979,6.9003,31.4487
27.074,6.8557,31.4459
27.265,6.8466,31.4445
27.503,6.8522,31.4416
27.789,6.8453,31.4407
28.075,6.7548,31.4428
28.409,6.7569,31.4432
28.6,6.6423,31.4368
28.695,6.5495,31.4415
28.886,6.4718,31.4768
29.124,6.4543,31.4564
29.458,6.3192,31.4384
29.792,6.1368,31.4411
30.078,6.0522,31.4485
30.221,5.899,31.4564
30.507,5.6845,31.4616
30.697,5.6765,31.4983
30.888,5.5952,31.4486
31.222,5.5681,31.4396
31.46,5.2529,31.4699
31.698,5.0956,31.3796
31.841,4.9544,31.4313
32.08,4.8605,31.4477
32.27,4.7882,31.4343
32.604,4.8024,31.4304
32.985,4.7971,31.427
33.081,4.7488,31.4379
33.224,4.7391,31.4289
33.51,4.68,31.4254
33.653,4.6543,31.428
33.939,4.5495,31.4213
34.273,4.4938,31.4228
34.463,4.4564,31.4202
34.654,4.4186,31.4236
34.845,4.3509,31.4208
35.083,4.3475,31.4152
35.369,4.318,31.4213
35.655,4.2174,31.4197
35.798,4.2484,31.4054
36.132,4.1732,31.4171
36.227,4.1803,31.4141
36.513,4.1739,31.4126
36.704,4.163,31.4119
36.942,4.1609,31.4092
37.324,4.1667,31.4118
37.467,4.1392,31.4058
37.705,3.9757,31.4523
37.753,3.6785,31.4412
37.991,3.5561,31.4316
38.182,3.4227,31.4133
38.468,3.4055,31.408
38.754,3.4262,31.4087
39.04,3.3735,31.407
39.231,3.3676,31.4045
39.469,3.3829,31.4023
39.564,3.381,31.4014
39.898,3.3739,31.3992
39.993,3.3747,31.399
40.47,3.369,31.3967
40.661,3.3692,31.3974
40.852,3.3772,31.395
40.947,3.3572,31.3988
41.281,3.2666,31.3991
41.471,3.2082,31.3952
41.758,3.2009,31.3967
42.091,3.1477,31.4104
42.282,3.0936,31.3981
42.473,3.1047,31.4212
42.759,3.0642,31.4062
42.949,3.0196,31.3938
43.283,3.0021,31.3935
43.522,2.9717,31.3886
43.808,2.9367,31.3868
43.903,2.919,31.3955
44.141,2.9194,31.3928
